資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100074,001,4,13,structure corporate tax 74,detail corporate tax 74
SSKM000100075,001,5,14,structure corporate tax 75,detail corporate tax 75
SSKM000100076,001,6,15,structure corporate tax 76,detail corporate tax 76
SSKM000100077,001,99,16,structure corporate tax 77,detail corporate tax 77
SSKM000100078,001,1,17,structure corporate tax 78,detail corporate tax 78
SSKM000100079,001,2,20,structure corporate tax 79,detail corporate tax 79
SSKM000100080,001,3,30,structure corporate tax 80,detail corporate tax 80
SSKM000100081,001,4,40,structure corporate tax 81,detail corporate tax 81
SSKM000100082,001,5,50,structure corporate tax 82,detail corporate tax 82
SSKM000100083,001,6,60,structure corporate tax 83,detail corporate tax 83
SSKM000100084,001,99,99,structure corporate tax 84,detail corporate tax 84
SSKM000100085,001,1,10,structure corporate tax 85,detail corporate tax 85
SSKM000100086,001,2,11,structure corporate tax 86,detail corporate tax 86
SSKM000100087,001,3,12,structure corporate tax 87,detail corporate tax 87
SSKM000100088,001,4,13,structure corporate tax 88,detail corporate tax 88
SSKM000100089,001,5,14,structure corporate tax 89,detail corporate tax 89
SSKM000100090,001,6,15,structure corporate tax 90,detail corporate tax 90
SSKM000100091,001,99,16,structure corporate tax 91,detail corporate tax 91
SSKM000100092,001,1,17,structure corporate tax 92,detail corporate tax 92
SSKM000100093,001,2,20,structure corporate tax 93,detail corporate tax 93
SSKM000100094,001,3,30,structure corporate tax 94,detail corporate tax 94
SSKM000100095,001,4,40,structure corporate tax 95,detail corporate tax 95
SSKM000100096,001,5,50,structure corporate tax 96,detail corporate tax 96
SSKM000100097,001,6,60,structure corporate tax 97,detail corporate tax 97
SSKM000100098,001,1,99,structure corporate tax 98,detail corporate tax 98
SSKM000100099,001,2,10,structure corporate tax 99,detail corporate tax 99
SSKM000100100,001,99,11,structure corporate tax 100,detail corporate tax 100
SSKM000100101,001,1,10,structure corporate tax 101,detail corporate tax 101
SSKM000100102,001,2,11,structure corporate tax 102,detail corporate tax 102
SSKM000100103,001,3,12,structure corporate tax 103,detail corporate tax 103
SSKM000100104,001,4,13,structure corporate tax 104,detail corporate tax 104
SSKM000100105,001,5,14,structure corporate tax 105,detail corporate tax 105
SSKM000100106,001,6,15,structure corporate tax 106,detail corporate tax 106
SSKM000100107,001,99,16,structure corporate tax 107,detail corporate tax 107
SSKM000100108,001,1,17,structure corporate tax 108,detail corporate tax 108
SSKM000100109,001,2,20,structure corporate tax 109,detail corporate tax 109
SSKM000100110,001,3,30,structure corporate tax 110,detail corporate tax 110
SSKM000100111,001,4,40,structure corporate tax 111,detail corporate tax 111
SSKM000100112,001,5,50,structure corporate tax 112,detail corporate tax 112
SSKM000100113,001,6,60,structure corporate tax 113,detail corporate tax 113
SSKM000100114,001,1,99,structure corporate tax 114,detail corporate tax 114
SSKM000100115,001,2,10,structure corporate tax 115,detail corporate tax 115
SSKM000100116,001,99,11,structure corporate tax 116,detail corporate tax 116
SSKM000100117,001,1,10,structure corporate tax 117,detail corporate tax 117
SSKM000100118,001,2,11,structure corporate tax 118,detail corporate tax 118
SSKM000100119,001,3,12,structure corporate tax 119,detail corporate tax 119
SSKM000100120,001,4,13,structure corporate tax 120,detail corporate tax 120
SSKM000100121,001,5,14,structure corporate tax 121,detail corporate tax 121
SSKM000100122,001,6,15,structure corporate tax 122,detail corporate tax 122
SSKM000100123,001,99,16,structure corporate tax 123,detail corporate tax 123
SSKM000100124,001,1,17,structure corporate tax 124,detail corporate tax 124
SSKM000100125,001,2,20,structure corporate tax 125,detail corporate tax 125
SSKM000100126,001,3,30,structure corporate tax 126,detail corporate tax 126
SSKM000100127,001,4,40,structure corporate tax 127,detail corporate tax 127
SSKM000100128,001,5,50,structure corporate tax 128,detail corporate tax 128
SSKM000100129,001,6,60,structure corporate tax 129,detail corporate tax 129
SSKM000100130,001,1,99,structure corporate tax 130,detail corporate tax 130
SSKM000100131,001,2,10,structure corporate tax 131,detail corporate tax 131
SSKM000100132,001,99,11,structure corporate tax 132,detail corporate tax 132
SSKM000100133,001,1,10,structure corporate tax 133,detail corporate tax 133
SSKM000100134,001,2,11,structure corporate tax 134,detail corporate tax 134
SSKM000100135,001,3,12,structure corporate tax 135,detail corporate tax 135
SSKM000100136,001,4,13,structure corporate tax 136,detail corporate tax 136
SSKM000100137,001,5,14,structure corporate tax 137,detail corporate tax 137
SSKM000100138,001,6,15,structure corporate tax 138,detail corporate tax 138
SSKM000100139,001,99,16,structure corporate tax 139,detail corporate tax 139
SSKM000100140,001,1,17,structure corporate tax 140,detail corporate tax 140
SSKM000100141,001,2,20,structure corporate tax 141,detail corporate tax 141
SSKM000100142,001,3,30,structure corporate tax 142,detail corporate tax 142
SSKM000100143,001,4,40,structure corporate tax 143,detail corporate tax 143
SSKM000100144,001,5,50,structure corporate tax 144,detail corporate tax 144
SSKM000100145,001,6,60,structure corporate tax 145,detail corporate tax 145
SSKM000100146,001,1,99,structure corporate tax 146,detail corporate tax 146
SSKM000100147,001,2,10,structure corporate tax 147,detail corporate tax 147
SSKM000100148,001,99,11,structure corporate tax 148,detail corporate tax 148
SSKM000100149,001,1,10,structure corporate tax 149,detail corporate tax 149
SSKM000100150,001,2,11,structure corporate tax 150,detail corporate tax 150
SSKM000100151,001,3,12,structure corporate tax 151,detail corporate tax 151
SSKM000100152,001,4,13,structure corporate tax 152,detail corporate tax 152
SSKM000100153,001,5,14,structure corporate tax 153,detail corporate tax 153
SSKM000100154,001,6,15,structure corporate tax 154,detail corporate tax 154
SSKM000100155,001,99,16,structure corporate tax 155,detail corporate tax 155
SSKM000100156,001,1,17,structure corporate tax 156,detail corporate tax 156
SSKM000100157,001,2,20,structure corporate tax 157,detail corporate tax 157
SSKM000100158,001,3,30,structure corporate tax 158,detail corporate tax 158
SSKM000100159,001,4,40,structure corporate tax 159,detail corporate tax 159
SSKM000100160,001,5,50,structure corporate tax 160,detail corporate tax 160
SSKM000100161,001,6,60,structure corporate tax 161,detail corporate tax 161
SSKM000100162,001,1,99,structure corporate tax 162,detail corporate tax 162
SSKM000100163,001,2,10,structure corporate tax 163,detail corporate tax 163
SSKM000100164,001,99,11,structure corporate tax 164,detail corporate tax 164
SSKM000100165,001,1,10,structure corporate tax 165,detail corporate tax 165
SSKM000100166,001,2,11,structure corporate tax 166,detail corporate tax 166
SSKM000100167,001,3,12,structure corporate tax 167,detail corporate tax 167
SSKM000100168,001,4,13,structure corporate tax 168,detail corporate tax 168
SSKM000100169,001,5,14,structure corporate tax 169,detail corporate tax 169
SSKM000100170,001,6,15,structure corporate tax 170,detail corporate tax 170
SSKM000100171,001,99,16,structure corporate tax 171,detail corporate tax 171
SSKM000100172,001,1,17,structure corporate tax 172,detail corporate tax 172
SSKM000100173,001,2,20,structure corporate tax 173,detail corporate tax 173
SSKM000100174,001,3,30,structure corporate tax 174,detail corporate tax 174
SSKM000100175,001,4,40,structure corporate tax 175,detail corporate tax 175
SSKM000100176,001,5,50,structure corporate tax 176,detail corporate tax 176
SSKM000100177,001,6,60,structure corporate tax 177,detail corporate tax 177
SSKM000100178,001,1,99,structure corporate tax 178,detail corporate tax 178
SSKM000100179,001,2,10,structure corporate tax 179,detail corporate tax 179
SSKM000100180,001,99,11,structure corporate tax 180,detail corporate tax 180
SSKM000100181,001,1,10,structure corporate tax 181,detail corporate tax 181
SSKM000100182,001,2,11,structure corporate tax 182,detail corporate tax 182
SSKM000100183,001,3,12,structure corporate tax 183,detail corporate tax 183
SSKM000100184,001,4,13,structure corporate tax 184,detail corporate tax 184
SSKM000100185,001,5,14,structure corporate tax 185,detail corporate tax 185
SSKM000100186,001,6,15,structure corporate tax 186,detail corporate tax 186
SSKM000100187,001,99,16,structure corporate tax 187,detail corporate tax 187
SSKM000100188,001,1,17,structure corporate tax 188,detail corporate tax 188
SSKM000100189,001,2,20,structure corporate tax 189,detail corporate tax 189
SSKM000100190,001,3,30,structure corporate tax 190,detail corporate tax 190
SSKM000100191,001,4,40,structure corporate tax 191,detail corporate tax 191
SSKM000100192,001,5,50,structure corporate tax 192,detail corporate tax 192
SSKM000100193,001,6,60,structure corporate tax 193,detail corporate tax 193
SSKM000100194,001,1,99,structure corporate tax 194,detail corporate tax 194
SSKM000100195,001,2,10,structure corporate tax 195,detail corporate tax 195
SSKM000100196,001,99,11,structure corporate tax 196,detail corporate tax 196
SSKM000100197,001,1,10,structure corporate tax 197,detail corporate tax 197
SSKM000100198,001,2,11,structure corporate tax 198,detail corporate tax 198
SSKM000100199,001,3,12,structure corporate tax 199,detail corporate tax 199
SSKM000100200,001,4,13,structure corporate tax 200,detail corporate tax 200
SSKM000100201,001,5,14,structure corporate tax 201,detail corporate tax 201
SSKM000100202,001,6,15,structure corporate tax 202,detail corporate tax 202
SSKM000100203,001,99,16,structure corporate tax 203,detail corporate tax 203
SSKM000100204,001,1,17,structure corporate tax 204,detail corporate tax 204
SSKM000100205,001,2,20,structure corporate tax 205,detail corporate tax 205
SSKM000100206,001,3,30,structure corporate tax 206,detail corporate tax 206
SSKM000100207,001,4,40,structure corporate tax 207,detail corporate tax 207
SSKM000100208,001,5,50,structure corporate tax 208,detail corporate tax 208
SSKM000100209,001,6,60,structure corporate tax 209,detail corporate tax 209
SSKM000100210,001,1,99,structure corporate tax 210,detail corporate tax 210
SSKM000100211,001,2,10,structure corporate tax 211,detail corporate tax 211
SSKM000100212,001,99,11,structure corporate tax 212,detail corporate tax 212
SSKM000100213,001,1,10,structure corporate tax 213,detail corporate tax 213
SSKM000100214,001,2,11,structure corporate tax 214,detail corporate tax 214
SSKM000100215,001,3,12,structure corporate tax 215,detail corporate tax 215
SSKM000100216,001,4,13,structure corporate tax 216,detail corporate tax 216
SSKM000100217,001,5,14,structure corporate tax 217,detail corporate tax 217
SSKM000100218,001,6,15,structure corporate tax 218,detail corporate tax 218
SSKM000100219,001,99,16,structure corporate tax 219,detail corporate tax 219
SSKM000100220,001,1,17,structure corporate tax 220,detail corporate tax 220
SSKM000100221,001,2,20,structure corporate tax 221,detail corporate tax 221
SSKM000100222,001,3,30,structure corporate tax 222,detail corporate tax 222
SSKM000100223,001,4,40,structure corporate tax 223,detail corporate tax 223
SSKM000100224,001,5,50,structure corporate tax 224,detail corporate tax 224
SSKM000100225,001,6,60,structure corporate tax 225,detail corporate tax 225
SSKM000100226,001,1,99,structure corporate tax 226,detail corporate tax 226
SSKM000100227,001,2,10,structure corporate tax 227,detail corporate tax 227
SSKM000100228,001,99,11,structure corporate tax 228,detail corporate tax 228
SSKM000100229,001,1,10,structure corporate tax 229,detail corporate tax 229
SSKM000100230,001,2,11,structure corporate tax 230,detail corporate tax 230
SSKM000100231,001,3,12,structure corporate tax 231,detail corporate tax 231
SSKM000100232,001,4,13,structure corporate tax 232,detail corporate tax 232
SSKM000100233,001,5,14,structure corporate tax 233,detail corporate tax 233
SSKM000100234,001,6,15,structure corporate tax 234,detail corporate tax 234
SSKM000100235,001,99,16,structure corporate tax 235,detail corporate tax 235
SSKM000100236,001,1,17,structure corporate tax 236,detail corporate tax 236
SSKM000100237,001,2,20,structure corporate tax 237,detail corporate tax 237
SSKM000100238,001,3,30,structure corporate tax 238,detail corporate tax 238
SSKM000100239,001,4,40,structure corporate tax 239,detail corporate tax 239
SSKM000100240,001,5,50,structure corporate tax 240,detail corporate tax 240
SSKM000100241,001,6,60,structure corporate tax 241,detail corporate tax 241
SSKM000100242,001,1,99,structure corporate tax 242,detail corporate tax 242
SSKM000100243,001,2,10,structure corporate tax 243,detail corporate tax 243
SSKM000100244,001,99,11,structure corporate tax 244,detail corporate tax 244
SSKM000100245,001,1,10,structure corporate tax 245,detail corporate tax 245
SSKM000100246,001,2,11,structure corporate tax 246,detail corporate tax 246
SSKM000100247,001,3,12,structure corporate tax 247,detail corporate tax 247
SSKM000100248,001,4,13,structure corporate tax 248,detail corporate tax 248
SSKM000100249,001,5,14,structure corporate tax 249,detail corporate tax 249
SSKM000100250,001,6,15,structure corporate tax 250,detail corporate tax 250
SSKM000100251,001,99,16,structure corporate tax 251,detail corporate tax 251
SSKM000100252,001,1,17,structure corporate tax 252,detail corporate tax 252
SSKM000100253,001,2,20,structure corporate tax 253,detail corporate tax 253
SSKM000100254,001,3,30,structure corporate tax 254,detail corporate tax 254
SSKM000100255,001,4,40,structure corporate tax 255,detail corporate tax 255
SSKM000100256,001,5,50,structure corporate tax 256,detail corporate tax 256
SSKM000100257,001,6,60,structure corporate tax 257,detail corporate tax 257
SSKM000100258,001,1,99,structure corporate tax 258,detail corporate tax 258
SSKM000100259,001,2,10,structure corporate tax 259,detail corporate tax 259
SSKM000100260,001,99,11,structure corporate tax 260,detail corporate tax 260
SSKM000100261,001,1,10,structure corporate tax 261,detail corporate tax 261
SSKM000100262,001,2,11,structure corporate tax 262,detail corporate tax 262
SSKM000100263,001,3,12,structure corporate tax 263,detail corporate tax 263
SSKM000100264,001,4,13,structure corporate tax 264,detail corporate tax 264
SSKM000100265,001,5,14,structure corporate tax 265,detail corporate tax 265
SSKM000100266,001,6,15,structure corporate tax 266,detail corporate tax 266
SSKM000100267,001,99,16,structure corporate tax 267,detail corporate tax 267
SSKM000100268,001,1,17,structure corporate tax 268,detail corporate tax 268
SSKM000100269,001,2,20,structure corporate tax 269,detail corporate tax 269
SSKM000100270,001,3,30,structure corporate tax 270,detail corporate tax 270
SSKM000100271,001,4,40,structure corporate tax 271,detail corporate tax 271
SSKM000100272,001,5,50,structure corporate tax 272,detail corporate tax 272
SSKM000100273,001,6,60,structure corporate tax 273,detail corporate tax 273
SSKM000100274,001,1,99,structure corporate tax 274,detail corporate tax 274
SSKM000100275,001,2,10,structure corporate tax 275,detail corporate tax 275
SSKM000100276,001,99,11,structure corporate tax 276,detail corporate tax 276
SSKM000100277,001,1,10,structure corporate tax 277,detail corporate tax 277
SSKM000100278,001,2,11,structure corporate tax 278,detail corporate tax 278
SSKM000100279,001,3,12,structure corporate tax 279,detail corporate tax 279
SSKM000100280,001,4,13,structure corporate tax 280,detail corporate tax 280
SSKM000100281,001,5,14,structure corporate tax 281,detail corporate tax 281
SSKM000100282,001,6,15,structure corporate tax 282,detail corporate tax 282
SSKM000100283,001,99,16,structure corporate tax 283,detail corporate tax 283
SSKM000100284,001,1,17,structure corporate tax 284,detail corporate tax 284
SSKM000100285,001,2,20,structure corporate tax 285,detail corporate tax 285
SSKM000100286,001,3,30,structure corporate tax 286,detail corporate tax 286
SSKM000100287,001,4,40,structure corporate tax 287,detail corporate tax 287
SSKM000100288,001,5,50,structure corporate tax 288,detail corporate tax 288
SSKM000100289,001,6,60,structure corporate tax 289,detail corporate tax 289
SSKM000100290,001,1,99,structure corporate tax 290,detail corporate tax 290
SSKM000100291,001,2,10,structure corporate tax 291,detail corporate tax 291
SSKM000100292,001,99,11,structure corporate tax 292,detail corporate tax 292
SSKM000100293,001,1,10,structure corporate tax 293,detail corporate tax 293
SSKM000100294,001,2,11,structure corporate tax 294,detail corporate tax 294
SSKM000100295,001,3,12,structure corporate tax 295,detail corporate tax 295
SSKM000100296,001,4,13,structure corporate tax 296,detail corporate tax 296
SSKM000100297,001,5,14,structure corporate tax 297,detail corporate tax 297
SSKM000100298,001,6,15,structure corporate tax 298,detail corporate tax 298
SSKM000100299,001,99,16,structure corporate tax 299,detail corporate tax 299
SSKM000100300,001,1,17,structure corporate tax 300,detail corporate tax 300
SSKM000100301,001,2,20,structure corporate tax 301,detail corporate tax 301
SSKM000100302,001,3,30,structure corporate tax 302,detail corporate tax 302
SSKM000100303,001,4,40,structure corporate tax 303,detail corporate tax 303
SSKM000100304,001,5,50,structure corporate tax 304,detail corporate tax 304
SSKM000100305,001,6,60,structure corporate tax 305,detail corporate tax 305
SSKM000100306,001,1,99,structure corporate tax 306,detail corporate tax 306
SSKM000100307,001,2,10,structure corporate tax 307,detail corporate tax 307
SSKM000100308,001,99,11,structure corporate tax 308,detail corporate tax 308
SSKM000100309,001,1,10,structure corporate tax 309,detail corporate tax 309
SSKM000100310,001,2,11,structure corporate tax 310,detail corporate tax 310
SSKM000100311,001,3,12,structure corporate tax 311,detail corporate tax 311
SSKM000100312,001,4,13,structure corporate tax 312,detail corporate tax 312
SSKM000100313,001,5,14,structure corporate tax 313,detail corporate tax 313
SSKM000100314,001,6,15,structure corporate tax 314,detail corporate tax 314
SSKM000100315,001,99,16,structure corporate tax 315,detail corporate tax 315
SSKM000100316,001,1,17,structure corporate tax 316,detail corporate tax 316
SSKM000100317,001,2,20,structure corporate tax 317,detail corporate tax 317
SSKM000100318,001,3,30,structure corporate tax 318,detail corporate tax 318
SSKM000100319,001,4,40,structure corporate tax 319,detail corporate tax 319
SSKM000100320,001,5,50,structure corporate tax 320,detail corporate tax 320
SSKM000100321,001,6,60,structure corporate tax 321,detail corporate tax 321
SSKM000100322,001,1,99,structure corporate tax 322,detail corporate tax 322
SSKM000100323,001,2,10,structure corporate tax 323,detail corporate tax 323
SSKM000100324,001,99,11,structure corporate tax 324,detail corporate tax 324
SSKM000100325,001,1,10,structure corporate tax 325,detail corporate tax 325
SSKM000100326,001,2,11,structure corporate tax 326,detail corporate tax 326
SSKM000100327,001,3,12,structure corporate tax 327,detail corporate tax 327
SSKM000100328,001,4,13,structure corporate tax 328,detail corporate tax 328
SSKM000100329,001,5,14,structure corporate tax 329,detail corporate tax 329
SSKM000100330,001,6,15,structure corporate tax 330,detail corporate tax 330
SSKM000100331,001,99,16,structure corporate tax 331,detail corporate tax 331
SSKM000100332,001,1,17,structure corporate tax 332,detail corporate tax 332
SSKM000100333,001,2,20,structure corporate tax 333,detail corporate tax 333
SSKM000100334,001,3,30,structure corporate tax 334,detail corporate tax 334
SSKM000100335,001,4,40,structure corporate tax 335,detail corporate tax 335
SSKM000100336,001,5,50,structure corporate tax 336,detail corporate tax 336
SSKM000100337,001,6,60,structure corporate tax 337,detail corporate tax 337
SSKM000100338,001,1,99,structure corporate tax 338,detail corporate tax 338
SSKM000100339,001,2,10,structure corporate tax 339,detail corporate tax 339
SSKM000100340,001,99,11,structure corporate tax 340,detail corporate tax 340
SSKM000100341,001,1,10,structure corporate tax 341,detail corporate tax 341
SSKM000100342,001,2,11,structure corporate tax 342,detail corporate tax 342
SSKM000100343,001,3,12,structure corporate tax 343,detail corporate tax 343
SSKM000100344,001,4,13,structure corporate tax 344,detail corporate tax 344
SSKM000100345,001,5,14,structure corporate tax 345,detail corporate tax 345
SSKM000100346,001,6,15,structure corporate tax 346,detail corporate tax 346
SSKM000100347,001,99,16,structure corporate tax 347,detail corporate tax 347
SSKM000100348,001,1,17,structure corporate tax 348,detail corporate tax 348
SSKM000100349,001,2,20,structure corporate tax 349,detail corporate tax 349
SSKM000100350,001,3,30,structure corporate tax 350,detail corporate tax 350
